Epoch 1/100, Loss: 2.2022871471122096, IOU: 0.08552664728619137
Epoch 2/100, Loss: 2.080563938983566, IOU: 0.13481670741051785
Epoch 3/100, Loss: 1.9981903212759502, IOU: 0.14604194880780957
Epoch 4/100, Loss: 1.92375818329394, IOU: 0.1590521991035925
Epoch 5/100, Loss: 1.8449324604190525, IOU: 0.17466223861646962
Epoch 6/100, Loss: 1.762614798820232, IOU: 0.18952018991503972
Epoch 7/100, Loss: 1.681521098327149, IOU: 0.20971144404607595
Epoch 8/100, Loss: 1.6098500790498447, IOU: 0.22877017248949158
Epoch 9/100, Loss: 1.549406822532644, IOU: 0.25079245861013433
Epoch 10/100, Loss: 1.4927788695411, IOU: 0.27418000640933576
Epoch 11/100, Loss: 1.4383232803905712, IOU: 0.2934083242958884
Epoch 12/100, Loss: 1.3878130732899736, IOU: 0.31328813555684265
Epoch 13/100, Loss: 1.3372416904820201, IOU: 0.33718846712971007
Epoch 14/100, Loss: 1.2806484895898862, IOU: 0.3620109961404464
Epoch 15/100, Loss: 1.2140917546303986, IOU: 0.3898348447984175
Epoch 16/100, Loss: 1.1497620830450521, IOU: 0.41991556772696165
Epoch 17/100, Loss: 1.0770913165853457, IOU: 0.45161556702897554
Epoch 18/100, Loss: 1.0011529917912105, IOU: 0.4854729989330809
Epoch 19/100, Loss: 0.9227448252155958, IOU: 0.5232992562999527
Epoch 20/100, Loss: 0.8452536115408553, IOU: 0.559552486250611
Epoch 21/100, Loss: 0.7668182897140913, IOU: 0.5951771419321575
Epoch 22/100, Loss: 0.6865085239148201, IOU: 0.6377935907474365
Epoch 23/100, Loss: 0.6117266297645276, IOU: 0.6756376122456688
Epoch 24/100, Loss: 0.5438305703956453, IOU: 0.7094398109336233
Epoch 25/100, Loss: 0.4796455351211836, IOU: 0.7464278410670252
Epoch 26/100, Loss: 0.429501915240989, IOU: 0.7716760648472323
Epoch 27/100, Loss: 0.3754761450735809, IOU: 0.8023977720205346
Epoch 28/100, Loss: 0.3337862431774359, IOU: 0.826979647736379
Epoch 29/100, Loss: 0.29548815853150606, IOU: 0.8486525897765924
Epoch 30/100, Loss: 0.26091058213082724, IOU: 0.8649480574349253
Epoch 31/100, Loss: 0.2264971677833201, IOU: 0.8876428416616972
Epoch 32/100, Loss: 0.21154195463756467, IOU: 0.8929151803994785
Epoch 33/100, Loss: 0.18223257598174197, IOU: 0.909538964935227
Epoch 34/100, Loss: 0.16127937675818152, IOU: 0.9220663224777241
Epoch 35/100, Loss: 0.1557226090661019, IOU: 0.9218329372922925
Epoch 36/100, Loss: 0.14208563560110224, IOU: 0.9289471288578035
Epoch 37/100, Loss: 0.12611566911763547, IOU: 0.9378462736822705
Epoch 38/100, Loss: 0.11489502336744152, IOU: 0.9439725125802504
Epoch 39/100, Loss: 0.10839869714606448, IOU: 0.9498807043143145
Epoch 40/100, Loss: 0.10092395959693529, IOU: 0.9509106199994963
Epoch 41/100, Loss: 0.0863538733743074, IOU: 0.9603269931561096
Epoch 42/100, Loss: 0.0770025205729372, IOU: 0.9651456154711694
Epoch 43/100, Loss: 0.07533512406451318, IOU: 0.9647239563032397
Epoch 44/100, Loss: 0.07033696517710337, IOU: 0.9679315756512249
Epoch 45/100, Loss: 0.06753000877607052, IOU: 0.9688250962947256
