Epoch 1/100, Loss: 2.1923592050971887, IOU: 0.09106000769988061
Epoch 2/100, Loss: 2.0400034212090477, IOU: 0.13751185286601075
Epoch 3/100, Loss: 1.9246677963630012, IOU: 0.15868097737364187
Epoch 4/100, Loss: 1.8087596658550564, IOU: 0.1819604140288726
Epoch 5/100, Loss: 1.6914726753369012, IOU: 0.20727010655660677
Epoch 6/100, Loss: 1.583255261868772, IOU: 0.23897611072307318
Epoch 7/100, Loss: 1.4910948557012222, IOU: 0.27583211325589496
Epoch 8/100, Loss: 1.4063336141883869, IOU: 0.30634719103730645
Epoch 9/100, Loss: 1.326308059113105, IOU: 0.34384831873415983
Epoch 10/100, Loss: 1.2363600003749817, IOU: 0.3851357918948912
Epoch 11/100, Loss: 1.1381088559279966, IOU: 0.4270148725323008
Epoch 12/100, Loss: 1.028414948288437, IOU: 0.4869858042701999
Epoch 13/100, Loss: 0.9165764165961224, IOU: 0.5424861269636714
Epoch 14/100, Loss: 0.7952250102749261, IOU: 0.6131276635026132
Epoch 15/100, Loss: 0.6694469504877735, IOU: 0.6828789678343975
Epoch 16/100, Loss: 0.5638061244698132, IOU: 0.746869401538707
Epoch 17/100, Loss: 0.4712668600899484, IOU: 0.8039443065021323
Epoch 18/100, Loss: 0.3888807525034146, IOU: 0.8562431517797036
Epoch 19/100, Loss: 0.3207560762038926, IOU: 0.8957245639503609
Epoch 20/100, Loss: 0.2650247338082632, IOU: 0.9266956753817372
Epoch 21/100, Loss: 0.21810300098470106, IOU: 0.949220973940177
Epoch 22/100, Loss: 0.18902543960782267, IOU: 0.9600656214772232
Epoch 23/100, Loss: 0.1560893469273358, IOU: 0.9709407829548494
Epoch 24/100, Loss: 0.14039987153218836, IOU: 0.9764262153376606
Epoch 25/100, Loss: 0.12130014715559037, IOU: 0.9802880524049544
Epoch 26/100, Loss: 0.10823960209508306, IOU: 0.9848342789279491
Epoch 27/100, Loss: 0.09343256786599032, IOU: 0.9868258253184731
Epoch 28/100, Loss: 0.0835032358532176, IOU: 0.9897960297396131
Epoch 29/100, Loss: 0.07667226017193149, IOU: 0.9906296114608133
Epoch 30/100, Loss: 0.06911183454696555, IOU: 0.9922247208751146
Epoch 31/100, Loss: 0.0579484145066527, IOU: 0.9945377885115738
Epoch 32/100, Loss: 0.05686649086091982, IOU: 0.9947403084685259
Epoch 33/100, Loss: 0.04980038550546598, IOU: 0.996213689712825
Epoch 34/100, Loss: 0.04597750573974017, IOU: 0.9966869070353725
Epoch 35/100, Loss: 0.04983364844151661, IOU: 0.9953191577887869
Epoch 36/100, Loss: 0.04210458428043958, IOU: 0.9963747409879123
Epoch 37/100, Loss: 0.040332743556231565, IOU: 0.9970540022282355
Epoch 38/100, Loss: 0.036070526464987554, IOU: 0.9975591543484014
Epoch 39/100, Loss: 0.0361722960652512, IOU: 0.9971133777655518
Epoch 40/100, Loss: 0.04168763625330728, IOU: 0.9962771125026028
Epoch 41/100, Loss: 0.03509898433197395, IOU: 0.9969602240297041
Epoch 42/100, Loss: 0.03103223614111219, IOU: 0.997991198911915
Epoch 43/100, Loss: 0.03326540784029019, IOU: 0.9978175575490156
Epoch 44/100, Loss: 0.030764089922284913, IOU: 0.9974540396375438
Epoch 45/100, Loss: 0.028952737407022824, IOU: 0.9983223424415877
Epoch 46/100, Loss: 0.026977184739516442, IOU: 0.9984841046989383
Epoch 47/100, Loss: 0.024754024840191083, IOU: 0.9987453546500861
Epoch 48/100, Loss: 0.02253950370566162, IOU: 0.9986665895201703
Epoch 49/100, Loss: 0.03029237115931938, IOU: 0.9975336871852216
Epoch 50/100, Loss: 0.022379832578372793, IOU: 0.9991519570228011
Epoch 51/100, Loss: 0.01832687727365014, IOU: 0.9992108169292739
Epoch 52/100, Loss: 0.018426916612933872, IOU: 0.9993183337769868
Epoch 53/100, Loss: 0.020028881144488368, IOU: 0.9990521846723893
Epoch 54/100, Loss: 0.017525992047189333, IOU: 0.9995059490807573
Epoch 55/100, Loss: 0.017601281640898733, IOU: 0.9994763970755021
Epoch 56/100, Loss: 0.014333219920217162, IOU: 0.9996561523159988
Epoch 57/100, Loss: 0.014223484012186337, IOU: 0.9995317718655315
Epoch 58/100, Loss: 0.014593174016517598, IOU: 0.9995136005653907
Epoch 59/100, Loss: 0.012847539211791294, IOU: 0.999668068149526
Epoch 60/100, Loss: 0.01373214350419019, IOU: 0.9990978980525016
Epoch 61/100, Loss: 0.010521981190048072, IOU: 0.9999137797411456
Epoch 62/100, Loss: 0.009516122706426197, IOU: 0.9994585827642095
Epoch 63/100, Loss: 0.010221047424133677, IOU: 0.9998166109962785
Epoch 64/100, Loss: 0.008738227846289097, IOU: 0.9999573742540495
Epoch 65/100, Loss: 0.010725675283394078, IOU: 0.9997324680860487
Epoch 66/100, Loss: 0.011660488077785934, IOU: 0.9996111923030082
Epoch 67/100, Loss: 0.012416242377917684, IOU: 0.9994465203736302
Epoch 68/100, Loss: 0.009478104523802296, IOU: 1.0
Epoch 69/100, Loss: 0.008253932935590654, IOU: 0.9997046644744856
Epoch 70/100, Loss: 0.01204339080178143, IOU: 0.9996381027327319
Epoch 71/100, Loss: 0.011060597631089446, IOU: 0.999598399966047
Epoch 72/100, Loss: 0.007673009587026051, IOU: 0.9999135306296432
Epoch 73/100, Loss: 0.008345965539355932, IOU: 0.9997822534811026
Epoch 74/100, Loss: 0.008660430641984209, IOU: 0.9997922072954043
Epoch 75/100, Loss: 0.008635002754234454, IOU: 0.9997033451061583
Epoch 76/100, Loss: 0.007201016568022011, IOU: 0.9997567749102275
Epoch 77/100, Loss: 0.008681382797167177, IOU: 0.9997624615367583
Epoch 78/100, Loss: 0.007837293789718452, IOU: 0.9999419224211423
Epoch 79/100, Loss: 0.008478614251778992, IOU: 0.9997993545244186
Epoch 80/100, Loss: 0.006851175373159301, IOU: 0.9998410668615273
Epoch 81/100, Loss: 0.00977984024256425, IOU: 0.9996884214818996
Epoch 82/100, Loss: 0.009744541214146625, IOU: 0.9995898194587453
Epoch 83/100, Loss: 0.00904361194702606, IOU: 0.9999680306905371
Epoch 84/100, Loss: 0.009456319811865878, IOU: 0.9998629964806436
Epoch 85/100, Loss: 0.010267934781815403, IOU: 0.9997405411439938
Epoch 86/100, Loss: 0.010243765425497948, IOU: 0.9996399217435025
Epoch 87/100, Loss: 0.009241121973174855, IOU: 0.9997682944907257
Epoch 88/100, Loss: 0.008210218907475336, IOU: 0.9999184099503792
Epoch 89/100, Loss: 0.00713206187006422, IOU: 0.9998915196293714
Epoch 90/100, Loss: 0.006563538578776595, IOU: 0.9997078867778993
Epoch 91/100, Loss: 0.00804407664519899, IOU: 0.9997658121219501
Epoch 92/100, Loss: 0.008856054137112832, IOU: 0.9996024244297902
Epoch 93/100, Loss: 0.006789973822569408, IOU: 0.9999125618626897
Epoch 94/100, Loss: 0.007193736821662246, IOU: 0.9998838448422848
Epoch 95/100, Loss: 0.006954837047643519, IOU: 0.9999363736576014
Epoch 96/100, Loss: 0.008308146089707535, IOU: 0.9997944276524839
Epoch 97/100, Loss: 0.007687314268638668, IOU: 0.9998400980945737
Epoch 98/100, Loss: 0.007113604578036217, IOU: 0.999863439739825
Epoch 99/100, Loss: 0.00815934943642778, IOU: 0.9996055503887984
Epoch 100/100, Loss: 0.006725374533383347, IOU: 0.9998572452696494
